,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Berlevag,76,NO,1538524263,100,70.86,29.09,3.13,5.77
1,Cape Town,0,ZA,1538521200,62,-33.93,18.42,13.0,7.2
2,Barcelos,0,PT,1538523000,38,41.53,-8.62,16.0,3.1
3,Ushuaia,40,AR,1538521200,80,-54.81,-68.31,2.0,5.7
4,Port Alfred,36,ZA,1538524164,99,-33.59,26.89,15.93,9.72
5,Nacala,0,MZ,1538524288,100,-14.56,40.69,23.18,2.72
6,Hilo,1,US,1538520960,57,19.71,-155.08,30.6,5.7
7,Vaini,68,IN,1538524299,97,15.34,74.49,20.53,0.87
8,Grants,90,US,1538522100,71,35.15,-107.85,19.0,3.6
9,Saldanha,0,PT,1538524309,61,41.42,-6.55,9.78,2.67
10,Chuy,68,UY,1538523777,83,-33.69,-53.46,10.63,2.72
11,Arman,0,RU,1538521200,74,59.7,150.17,3.0,1.67
12,Kutum,92,SD,1538524407,25,14.2,24.66,29.53,4.72
13,Lavrentiya,92,RU,1538524409,91,65.58,-170.99,7.78,10.92
14,Mataura,0,NZ,1538524412,85,-46.19,168.86,11.68,3.22
15,Saint George,0,GR,1538520600,82,39.45,22.34,15.0,1.5
16,Iqaluit,90,CA,1538521200,100,63.75,-68.52,0.0,5.7
17,Itoman,75,JP,1538521200,57,26.12,127.67,25.0,8.2
18,Benghazi,88,LY,1538524420,90,32.12,20.07,27.33,4.47
19,Carnarvon,8,ZA,1538524422,77,-30.97,22.13,5.98,6.77
20,Labuhan,8,ID,1538524425,85,-2.54,115.51,24.83,1.17
21,Macas,8,EC,1538524427,85,-2.3,-78.12,20.88,1.17
22,Hasaki,75,JP,1538521200,88,35.73,140.83,19.0,2.6
23,Taoudenni,20,ML,1538524431,35,22.68,-3.98,23.18,1.22
24,Faanui,44,PF,1538524433,100,-16.48,-151.75,24.88,12.37
25,Cabra,0,ES,1538523000,42,37.47,-4.43,17.0,1.0
26,Bethel,90,US,1538520780,89,60.79,-161.76,11.1,6.2
27,Aklavik,20,CA,1538521200,55,68.22,-135.01,5.0,2.1
28,Tazmalt,40,DZ,1538521200,72,36.39,4.4,18.0,4.6
29,Pedernales,24,EC,1538524444,75,0.07,-80.05,24.83,3.87
30,Hobart,75,AU,1538523000,76,-42.88,147.33,13.0,3.6
31,Costinesti,8,RO,1538523000,100,43.95,28.63,12.0,5.7
32,Yumen,0,CN,1538524451,62,40.29,97.04,2.33,3.67
33,Cidreira,92,BR,1538524453,100,-30.17,-50.22,16.23,5.37
34,Kapaa,40,US,1538520960,72,22.08,-159.32,30.6,4.1
35,Dolores,0,AR,1538524457,42,-36.31,-57.68,12.93,4.82
36,Jamestown,76,AU,1538524460,78,-33.21,138.6,15.28,4.32
37,Baft,0,IR,1538524462,50,29.23,56.61,0.78,1.27
